date,format,mw,ml
2018-07-07,GYGO sealed prerelease,2,2
2018-07-07,sealed PPTQ,2,3
2018-07-07,sealed competitive,3,2
2018-07-08,GYGO sealed prerelease,3,1
2018-07-08,sealed competitive,4,1
2018-07-09,sealed competitive,1,3
2018-07-10,sealed competitive,2,3
2018-07-10,intermediate swiss draft,2,1
2018-07-11,draft single-elimination,2,1
2018-07-11,draft single-elimination,0,1
2018-07-11,sealed competitive,4,1
2018-07-13,GYGO fnm draft,2,1
2018-07-14,sealed competitive,3,2
2018-07-14,draft single-elimination,1,1
2018-07-14,sealed PPTQ,0,3
2018-07-15,GYGO competitive draft,2,2
2018-07-16,intermediate swiss draft,2,1
2018-07-16,draft single-elimination,1,1
2018-07-17,draft single-elimination,0,1
2018-07-17,draft single-elimination,1,1
2018-07-18,sealed competitive,1,3
2018-07-19,sealed competitive,0,3
2018-07-20,GYGO fnm draft,3,0
2018-07-21,sealed competitive,2,3
2018-07-21,sealed PPTQ,4,1
2018-07-22,GYGO competitive draft,2,2
2018-07-24,sealed competitive,3,2
2018-07-24,draft single-elimination,3,0
2018-07-25,draft single-elimination,3,0
2018-07-25,sealed competitive,2,3
2018-07-27,sealed mega last chance trial single elim,0,1
2018-07-27,m19 draft on demand,0,1
2018-07-27,sealed last chance trial,1,1
2018-07-28,sealed GP main event,4,2
2018-07-29,m19 draft on demand,0,1
2018-07-29,m19 team trios sealed,2,1
2018-07-30,draft single-elimination,1,1
2018-08-02,sealed competitive,1,3
2018-08-04,sealed competitive,3,2
2018-08-05,sealed PTQ Finals,0,2
2018-08-05,sealed competitive,2,3
2018-08-05,intermediate swiss draft,0,2
2018-08-05,intermediate swiss draft,0,2
2018-08-12,intermediate swiss draft,1,2
2018-08-13,sealed PPTQ,4,1
2018-08-14,draft single-elimination,0,1
2018-08-14,draft single-elimination,3,0
2018-08-14,draft single-elimination,0,1
2018-08-15,draft single-elimination,1,1
